Полное ФИО;Серия Номер;Пункт Отправления;Пункт Назначения;Время Отправления;Время Прибытия;Номер Поезда;Вагон-Место;Цена;Карта;cluster
Гусева Вероника Платоновна;2912_250754;Сочи;Екатеринбург;2059-02-06T05:11;2059-02-08T03:06;410.0;10_11;665.0;4567270407006136_;10.0
Фёдорова Элеонора Константиновна;8087_113450;Москва;Краснодар;2037-03-07T17:50;2037-03-08T17:54;287.0;2_3;543.0;5500867304745213_;2.0
Алексеев Тимофей Викторович;5726_516845;Омск;Красноярск;2091-01-27T06:10;2091-01-27T19:03;81.0;26_5;871.0;5400377131640012_;3.0
Жданова Снежана Архиповна;9358_123746;Владикавказ;Москва;2029-05-11T10:25;2029-05-12T18:30;430.0;31_16;1424.0;5334274666141512_;5.0
Денисов Елисей Оскарович;0830_041153;Бологое;Санкт-Петербург;2014-08-03T14:45;2014-08-03T16:47;776.0;12_46;573.0;5469408732275412_;6.0
Самойлов Владимир Георгиевич;0411_947139;Мичуринск;Рязань;2018-03-06T04:22;2018-03-06T08:11;16.0;19_11;609.0;2202716774033134_;3.0
Федоров Георгий Егорович;1917_811853;Сочи;Адлер;2014-09-17T11:20;2014-09-17T20:00;477.0;3_42;526.0;4000705134173468_;8.0
Алексеев Марк Матвеевич;4512_349352;Канаш;Казань;2013-01-00T12:00;2020-08-08T14:45;399.0;22_3;684.0;4276172705774510_;10.0
Тарасова Милана Федоровна;5955_233552;Рязань;Москва;2013-01-00T12:00;2020-08-08T14:45;408.0;5_2;521.0;4300052222574035_;9.0
Назарова Мария Кристоферовна;2389_960818;Грязи;Москва;2013-01-00T12:00;2020-08-08T14:45;346.0;3_11;540.0;5400637757758254_;10.0
Кузнецова Юнона Елистратовна;4987_634236;Ростов-на-Дону;Москва;2013-01-00T12:00;2020-08-08T14:45;286.0;25_1;1197.0;5500005074238676_;5.0
Андреева Ясмина Юрьевна;5547_861658;Мичуринск;Москва;2013-01-00T12:00;2020-08-08T14:45;448.0;2_5;515.0;5486342131516654_;9.0
Миронов Елисей Тимофеевич;5456_273630;Омск;Анапа;2064-08-14T00:39;2064-08-17T13:33;441.0;3_1;20060.0;4100768246161078_;3.0
Соколова Элла Геннадиевна;1052_551516;Ростов-на-Дону;Казань;2015-03-08T07:59;2015-03-09T15:50;576.0;24_11;1417.0;5400167834206881_;1.0
Комарова Элла Георгиевна;7187_966457;Волгоград;Самара;2021-11-22T10:03;2021-11-22T21:39;630.0;4_1;536.0;5200340622183436_;7.0
Семенов Игнат Наумович;2469_415922;Волгоград;Омск;2068-04-12T20:15;2068-04-15T09:15;474.0;4_1;536.0;2207408562415028_;8.0
Андреев Адам Анатольевич;6700_541663;Воронеж;Москва;2031-05-05T14:18;2031-05-06T02:20;542.0;8_33;629.0;4567776257034201_;9.0
Смирнов Глеб Львович;1771_599360;Рязань;Ростов-на-Дону;2024-07-13T04:45;2024-07-13T14:45;283.0;1_15;518.0;4817226450737870_;2.0
Савельева Яна Дмитриевна;7081_290266;Шуя;Иваново;2025-04-26T17:52;2025-04-26T20:40;163.0;1_2;505.0;5500756250272507_;4.0
Леонова Полина Вадимовна;1010_068848;Лиски;Воронеж;2016-05-14T22:33;2016-05-15T00:04;719.0;3_14;550.0;4276450882672044_;6.0
Петрова Елена Климентовна;7234_586014;Мичуринск;Ртищево;2017-11-12T09:40;2017-11-12T14:20;13.0;4_17;516.0;5200020166368101_;3.0
Елисеева Милана Еремеевна;6761_349360;Сочи;Ростов-на-Дону;2021-10-02T08:45;2021-10-02T17:45;590.0;6_2;537.0;4567472644533644_;7.0
Карпова Зарема Владимировна;7574_171760;Екатеринбург;Челябинск;2013-01-00T12:00;2020-08-08T14:45;468.0;27_11;788.0;5400848117171122_;10.0
Самойлова Юлия Вадимовна;5646_697106;Москва;Санкт-Петербург;2013-01-00T12:00;2020-08-08T14:45;468.0;28_10;874.0;4276850086258272_;2.0
Зимина Алиса Ефимовна;0302_863428;Волгоград;Симферополь;2013-01-00T12:00;2020-08-08T14:45;468.0;24_3;1320.0;5400722251564808_;4.0
Макарова Ясмина Игоревна;4152_540559;Ростов-на-Дону;Краснодар;2022-05-06T04:10;2022-05-06T13:50;499.0;4_17;540.0;5500870877454546_;8.0
Гаврилова Надежда Савельевна;2212_255775;Москва (Восточный);Санкт-Петербург;2018-04-10T19:40;2018-04-11T03:40;186.0;27_1;730.0;2204116137458300_;5.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Краснодар;2039-04-26T14:24;2039-04-27T10:48;597.0;7_30;573.0;5500577526056663_;8.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Оренбург;2027-02-05T13:50;2027-02-06T06:40;131.0;3_1;4378.0;4300436506015465_;3.0
Сидорова Элла Степановна;0115_760601;Ростов-на-Дону;Ярославль;2017-04-09T00:05;2017-04-09T09:40;479.0;6_64;528.0;5486056654753743_;8.0
Котова Вера Вадимовна;9563_851193;Москва (Восточный);Кисловодск;2048-02-07T03:51;2048-02-08T14:56;49.0;28_3;1657.0;5486157062582151_;3.0
Новиков Аполлон Олегович;8870_220186;Нижний Новгород;Новороссийск;2045-05-08T11:45;2045-05-10T16:45;325.0;1_5;595.0;5500711228751615_;2.0
Лазарев Влас Эрнестович;1376_317433;Шымкент;Сары-Агач;2077-11-18T07:40;2077-11-19T03:40;331.0;2_32;800.0;5500867463152034_;1.0
Дмитриев Матвей Лаврентьевич;1820_311253;Минск;Москва;2029-08-18T22:30;2029-08-19T06:30;30.0;1_12;514.0;5469363320867231_;3.0
Миронова Дина Альбертовна;8583_581476;Краснодар;Мин. Воды;2032-04-15T20:00;2032-04-16T06:00;691.0;12_10;608.0;2200155378532545_;7.0
Баранова Вероника Владимировна;6020_215396;Ростов-на-Дону;Москва (Восточный);2041-02-27T09:02;2041-02-28T01:04;180.0;2_11;528.0;4300703240865451_;4.0
Сидоров Савелий Климентович;2470_074746;Новосибирск;Омск;2096-01-06T09:40;2096-01-06T23:40;651.0;30_4;920.0;4100055302584201_;10.0
Кравцов Дмитрий Витальевич;7919_024210;Элиста;Москва;2017-11-06T05:00;2017-11-07T06:00;358.0;32_3;1220.0;5400154237051058_;5.0
Ефремова Мелания Власовна;9547_148198;Анапа;Волгоград;2037-11-08T15:00;2037-11-09T14:36;452.0;23_14;1179.0;4817837601124053_;1.0
Баранова Римма Лаврентьевна;4696_255330;Рязань;Саратов;2037-10-20T05:00;2037-10-20T19:00;13.0;34_2;936.0;4817866566533716_;3.0
Макарова Алина Георгиевна;7703_320573;Тула;Курск;2015-04-09T13:32;2015-04-09T17:36;729.0;6_13;573.0;5500454833212732_;6.0
Якушева Алина Михайловна;5369_304816;Уфа;Ростов-на-Дону;2026-01-27T20:10;2026-01-29T10:50;305.0;8_25;662.0;5100656014448582_;1.0
Семёнова Людмила Аркадьевна;6579_723770;Самара;Новосибирск;2082-06-26T14:36;2082-06-27T20:20;212.0;19_3;1481.0;5500871723501035_;5.0
Тарасов Давид Вадимович;3602_788552;Волгоград;Санкт-Петербург;2020-03-08T11:15;2020-03-10T08:15;676.0;7_74;662.0;5486682267088051_;8.0
Поляков Филипп Львович;2777_748873;Москва (Курский);Новороссийск;2026-01-21T10:35;2026-01-22T20:15;215.0;19_4;1611.0;4276771551272013_;3.0
Ефимова Юлия Наумовна;3170_376946;Сызрань;Москва;2026-04-18T21:16;2026-04-19T09:19;12.0;16_15;630.0;5100546468456678_;3.0
Белов Тимур Кристоферович;7307_212966;Самара;Уфа;2043-12-11T08:11;2043-12-11T18:48;246.0;1_29;659.0;5469242042588824_;4.0
Баранов Иван Максимович;5943_021164;Самара;Екатеринбург;2077-11-07T19:51;2077-11-08T10:00;442.0;1_27;712.0;4100578573550078_;10.0
Захарова Диана Витальевна;4978_219303;Самара;Волгоград;2040-08-21T03:40;2040-08-21T17:40;651.0;7_3;558.0;5200760360064431_;7.0
Щербакова Капитолина Владимировна;7247_813657;Ростов-на-Дону;Рязань;2036-05-13T23:32;2036-05-14T11:34;498.0;11_33;543.0;4100352125667385_;8.0
Семёнова Октябрина Валентиновна;1846_933894;Краснодар;Волгоград;2017-08-05T01:21;2017-08-06T06:33;250.0;1_7;552.0;4300863281711538_;1.0
Колесникова Екатерина Эмильевна;3681_454908;Самара;Адлер;2071-01-02T10:55;2071-01-04T18:03;507.0;28_7;2220.0;4567186533030011_;5.0
Сафронова Инна Богдановна;2128_360228;Москва;Ростов-на-Дону;2022-11-07T05:00;2022-11-07T23:03;247.0;7_5;564.0;5469227745656208_;1.0
Колесникова Фёкла Дамировна;9680_884419;Краснодар;Староминская;2016-11-15T12:42;2016-11-15T15:24;689.0;1_9;511.0;5400577383876075_;6.0
Лазарева Майя Денисовна;0552_679221;Белгород;Курск;2015-04-15T11:30;2015-04-15T15:02;736.0;1_9;616.0;5334862033266507_;7.0
Ефремов Авраам Павлович;1150_197596;Курск;Прохоровка;2014-12-07T13:47;2014-12-07T15:33;735.0;3_37;547.0;2202352867861702_;6.0
Баранов Антон Вадимович;9028_641698;Псков;Струги Красные;2015-08-18T17:45;2015-08-18T18:46;728.0;1_3;533.0;5500827752367262_;6.0
Беляев Виталий Валентинович;6076_165215;Канаш;Арзамас;2025-04-19T08:30;2025-04-19T13:30;416.0;13_43;518.0;2207676626817300_;9.0
Осипова Карина Ивановна;9497_177455;Волгоград;Самара;2019-11-28T20:42;2019-11-29T07:31;512.0;2_10;662.0;4817406547137330_;9.0
Новикова Регина Ростиславовна;7177_632283;Санкт-Петербург;Чудово;2013-10-05T15:00;2013-10-05T16:01;737.0;5_31;527.0;2202753021378754_;6.0
Герасимов Давид Платонович;3704_134894;Краснодар;Адлер;2014-06-22T04:56;2014-06-22T09:20;161.0;22_27;547.0;4817530512260684_;5.0
Сергеева Вероника Станиславовна;2188_068789;Владимир;Ковров;2013-05-28T12:01;2013-05-28T13:02;773.0;1_13;554.0;5486483261765156_;6.0
Маслова Яна Прохоровна;7439_677521;Дзержинск;Владимир;2017-08-04T16:31;2017-08-04T19:33;52.0;3_18;509.0;2202216286060053_;3.0
Калашникова Кира Владимировна;6681_798060;Санкт-Петербург;Москва (Восточный);2030-04-13T17:55;2030-04-14T08:17;53.0;33_4;948.0;2207768040707503_;3.0
Русаков Ростислав Климович;1113_598254;Рязань;Рузаевка;2022-12-09T00:10;2022-12-09T06:10;93.0;5_1;1882.0;5100754017518551_;3.0
Денисов Авраам Елисеевич;9420_702667;Самара;Екатеринбург;2036-09-15T10:33;2036-09-16T00:24;256.0;1_7;524.0;4300574511763464_;2.0
Игнатов Серафим Матвеевич;7832_330759;Витебск;Орша;2026-01-14T19:36;2026-01-15T00:24;337.0;1_49;572.0;2207724362881352_;10.0
Баранов Захар Эльдарович;9960_511114;Крымская;Новороссийск;2013-05-19T09:01;2013-05-19T10:02;765.0;11_79;536.0;4817014675767626_;6.0
Антонов Эмиль Кириллович;7070_569776;Новороссийск;Нижний Новгород;2057-09-19T19:10;2057-09-21T22:10;490.0;23_6;2091.0;5200021686457278_;5.0
Новиков Емельян Эльдарович;0233_966671;Санкт-Петербург;Анапа;2031-01-10T23:29;2031-01-13T02:45;209.0;3_53;653.0;4000052251266816_;4.0
Баранова Тамара Ивановна;2281_938135;Санкт-Петербург;Екатеринбург;2151-01-09T13:50;2151-01-12T15:32;221.0;4_1;17480.0;5100334713436530_;3.0
Кудрявцева Лидия Тимофеевна;1742_416028;Сочи;Ростов-на-Дону;2031-02-19T17:31;2031-02-20T08:03;484.0;27_3;936.0;2204375080714621_;2.0
Новиков Станислав Ярославович;0115_760601;Рязань;Рузаевка;2035-09-07T01:25;2035-09-07T05:35;37.0;31_5;637.0;2200041578685666_;3.0
Соболев Захар Михайлович;8772_993927;Воронеж;Рязань;2024-04-22T08:42;2024-04-22T14:31;516.0;3_52;524.0;4276365567708032_;8.0
Быкова Антонина Львовна;1848_703479;Керчь;Симферополь;2020-01-16T05:00;2020-01-16T14:00;153.0;22_1;597.0;2204047115128542_;5.0
Давыдов Юрий Альбертович;7763_035574;Сухиничи;Брянск;2014-11-03T23:14;2014-11-04T01:16;187.0;18_13;558.0;2207711205302245_;4.0
Давыдов Ростислав Николаевич;2010_345810;Ярославль;Москва;2049-09-30T06:19;2049-09-30T14:20;444.0;28_16;730.0;5334788636231825_;10.0
Белов Эмиль Денисович;4570_165989;Ярославль;Кострома;2025-04-04T01:31;2025-04-04T06:32;401.0;2_34;521.0;5486407352014628_;9.0
Фролова Наталья Станиславовна;7195_421351;Воронеж;Краснодар;2032-02-22T10:42;2032-02-22T21:54;535.0;33_3;869.0;5500141726656076_;10.0
Сидорова Элла Степановна;0115_760601;Москва;Ростов-на-Дону;2055-10-16T12:00;2055-10-17T01:25;285.0;2_9;524.0;5500071316825214_;2.0
Сидорова Элла Степановна;0115_760601;Москва;Пугачевск;2013-05-07T23:45;2013-05-08T23:12;361.0;13_12;584.0;4817604673007117_;10.0
Сергеев Николай Эльдарович;2029_067965;Иваново;Владимир;2014-12-14T16:30;2014-12-14T21:14;102.0;3_1;1590.0;4567581550040651_;3.0
Кузнецова Ульяна Игнатьевна;7151_356884;Воронеж;Симферополь;2017-10-10T17:02;2017-10-11T11:05;247.0;28_18;1019.0;5100311106112257_;5.0
Русаков Иван Климович;8462_570396;Краснодар;Ростов-на-Дону;2029-04-05T00:47;2029-04-05T08:03;484.0;6_38;521.0;4100645257442353_;8.0
Зимина Арина Оскаровна;2650_442469;Саратов;Волгоград;2031-04-04T08:52;2031-04-04T18:13;667.0;31_1;791.0;5469251221618336_;9.0
Волков Савелий Даниилович;9518_024533;Лодейное Поле;Тверь;2028-08-05T17:31;2028-08-06T02:03;666.0;31_4;781.0;4817544583127762_;9.0
Ершов Лев Эльдарович;6947_214815;Арзамас;Агрыз;2021-03-21T08:46;2021-03-21T18:22;653.0;15_15;788.0;2207865648233444_;9.0
Маслова Элина Никитична;0605_958899;Москва;Санкт-Петербург;2020-02-10T05:15;2020-02-10T11:30;742.0;7_25;668.0;5100708715346150_;7.0
Кузьмин Елисей Андреевич;1002_291728;Москва;Староминская;2016-04-27T22:15;2016-04-28T13:37;151.0;13_10;555.0;5100633712634010_;5.0
Леонова Нинель Емельяновна;7910_532098;Ростов-на-Дону;Москва;2034-02-17T05:40;2034-02-17T18:30;430.0;3_36;553.0;5400621734351025_;9.0
Баранов Савелий Никитич;3870_761354;Витебск;Могилев;2037-09-28T06:08;2037-09-28T11:57;113.0;4_2;520.0;4817448025544076_;5.0
Янчук Виктория Елистратовна;7287_804951;Киров;Екатеринбург;2019-08-11T16:59;2019-08-12T22:43;237.0;34_6;1481.0;5334654726480735_;5.0
Кудрявцева Татьяна Арсеньевна;0467_051075;Москва;Тюмень;2056-02-06T14:30;2056-02-07T14:06;369.0;29_7;1236.0;4567006531060132_;5.0
Карпов Леонид Наумович;6971_039976;Воронеж;Мурманск;2057-03-28T18:37;2057-03-30T15:21;226.0;5_1;10806.0;5334823556558033_;3.0
Федоров Макар Леонидович;2896_365605;Краснодар;Ростов-на-Дону;2087-10-15T10:45;2087-10-16T00:45;584.0;4_38;542.0;2207330263155746_;7.0
Симонов Илья Вячеславович;7799_960103;Самара;Саратов;2043-04-23T18:40;2043-04-24T06:55;312.0;1_2;522.0;2207667731273403_;10.0
Андреева Лиана Львовна;7122_116115;Сочи;Адлер;2040-02-22T07:30;2040-02-22T17:55;539.0;32_3;825.0;5400686442565480_;10.0
Коновалов Игнат Елистратович;0325_872054;Москва;Шуя;2014-09-26T15:40;2014-09-26T20:24;101.0;10_4;551.0;2202774055085413_;5.0
Емельянов Сергей Савельевич;0265_527367;Казань;Омск;2014-04-14T11:30;2014-04-15T11:30;321.0;20_8;1220.0;4000220742773524_;5.0
Степанов Руслан Кузьмич;9635_015438;Сызрань;Тольятти;2017-04-18T03:33;2017-04-18T06:34;11.0;24_2;594.0;2207381262517866_;3.0
Андреев Артём Алексеевич;8662_282131;Поворино;Рязань;2020-03-16T03:26;2020-03-16T19:28;418.0;1_15;740.0;4276154116701468_;2.0
Комарова Виктория Прокофьевна;0206_406427;Санкт-Петербург;Мичуринск;2016-12-17T18:40;2016-12-18T18:43;417.0;25_9;1221.0;5334663078486624_;4.0
Кузнецова Полина Борисовна;6008_446783;Вышний Волочёк;Санкт-Петербург;2014-10-11T15:06;2014-10-11T17:48;707.0;7_23;548.0;2207312180803314_;6.0
Назаров Серафим Кузьмич;8622_695115;Джанкой;Пермь;2057-06-20T02:00;2057-06-22T08:00;364.0;4_1;12941.0;5200786755016347_;3.0
Васильева Ульяна Владиславовна;6591_784287;Саранск;Краснодар;2024-09-09T08:50;2024-09-10T13:50;499.0;28_4;1335.0;4276401361458211_;1.0
Орлов Клим Григорьевич;0401_949652;Петрозаводск;Бологое;2013-12-24T20:30;2013-12-25T02:30;8.0;4_17;518.0;5400275221616237_;3.0
Волков Эмиль Эльдарович;6045_174734;Пермь;Санкт-Петербург;2030-09-18T06:27;2030-09-19T11:15;192.0;2_12;551.0;5486756758883084_;4.0
Полякова Мария Климентовна;5250_028140;Казань;Владимир;2023-11-29T22:45;2023-11-30T08:21;24.0;27_7;816.0;5500712666752524_;3.0
Тарасов Борис Елисеевич;6115_080436;Туапсе;Ростов-на-Дону;2025-04-01T11:35;2025-04-02T06:55;468.0;2_44;790.0;5500133150240503_;10.0
Гаврилова Ася Альбертовна;7604_684176;Казань;Краснодар;2055-08-24T18:20;2055-08-26T05:40;381.0;2_19;1030.0;2204570887325601_;4.0
Шилов Арсений Владленович;1272_369676;Крымская;Краснодар;2013-07-19T10:46;2013-07-19T12:17;766.0;1_36;581.0;5334518622103166_;6.0
Полякова Изабелла Вадимовна;0467_866516;Ростов-на-Дону;Москва (Восточный);2033-08-04T04:51;2033-08-04T13:28;216.0;26_11;758.0;5100477127653337_;5.0
Самойлов Клим Прохорович;6837_723077;Тюмень;Екатеринбург;2048-12-31T01:40;2048-12-31T11:40;64.0;6_32;542.0;5500512540543734_;3.0
Тарасов Ефим Всеволодович;2282_519235;Иркутск;Москва;2052-07-16T11:18;2052-07-19T09:02;4.0;2_12;625.0;4100002430757861_;3.0
Лебедева Юнона Мироновна;7080_181633;Кисловодск;Самара;2044-09-03T15:45;2044-09-05T23:45;686.0;8_62;701.0;4817457760564265_;8.0
Назаров Кузьма Артёмович;1466_824092;Оренбург;Екатеринбург;2026-08-11T20:45;2026-08-12T15:15;376.0;32_3;1077.0;2204232034201728_;4.0
Соколов Кирилл Артурович;0260_013089;Москва;Усинск;2025-11-26T16:50;2025-11-28T06:54;293.0;27_10;1596.0;2200381220064030_;5.0
Абрамова Евгения Филипповна;6854_117617;Москва;Рязань;2014-07-25T20:00;2014-07-26T00:41;601.0;32_3;634.0;5334870511323755_;8.0
Гаврилов Тимур Леонидович;0841_674202;Агрыз;Москва;2013-07-26T03:30;2013-07-26T23:30;416.0;2_10;536.0;4276108870114287_;9.0
Колесников Алексей Прокофьевич;4507_377014;Пермь;Владивосток;2125-04-09T22:34;2125-04-14T10:44;439.0;7_76;889.0;4100526543642362_;2.0
Афанасьева Анастасия Федоровна;6549_809683;Крымская;Ростов-на-Дону;2021-01-11T11:18;2021-01-11T17:24;648.0;2_2;510.0;5334105727614028_;6.0
Петрова Фёкла Валентиновна;5082_343617;Керчь;Волгоград;2037-04-11T05:04;2037-04-11T20:48;232.0;21_23;669.0;4000475035115307_;4.0
Тарасова Диана Валентиновна;8211_493896;Волгоград;Самара;2015-03-08T16:18;2015-03-09T03:19;530.0;17_3;618.0;2200678372132618_;9.0
Сергеев Роберт Кузьмич;7659_004240;Самара;Рязань;2018-07-23T00:30;2018-07-23T13:18;148.0;1_18;692.0;4567687728682058_;5.0
Пономарёва Пелагея Глебовна;1294_161933;Омск;Ачинск;2023-02-17T11:30;2023-02-18T11:30;321.0;7_48;600.0;5500504156642151_;2.0
Белова Элеонора Романовна;7572_939117;Сочи;Уфа;2040-03-03T02:04;2040-03-04T21:20;586.0;27_17;1798.0;4817237440858460_;4.0
Соболева Лиана Емельяновна;8276_613229;Саратов;Самара;2019-05-26T12:28;2019-05-26T21:05;458.0;18_7;758.0;5400005718400482_;10.0
Назарова Полина Александровна;1379_835552;Ростов-на-Дону;Санкт-Петербург;2035-11-07T00:06;2035-11-07T21:20;548.0;22_6;1200.0;4100150375656507_;1.0
Сергеев Лука Степанович;8724_003018;Москва (Курский);Краснодар;2019-05-22T22:56;2019-05-24T01:40;179.0;3_49;580.0;5200313357465251_;5.0
Орлов Мирон Миронович;7729_282785;Саратов;Волгоград;2013-10-18T08:14;2013-10-18T18:51;697.0;2_52;659.0;4817144467560356_;7.0
Кудрявцева Надежда Максимовна;7458_206152;Уссурийск;Владивосток;2016-02-20T01:57;2016-02-20T06:18;626.0;6_32;518.0;5469452683248206_;7.0
Кузьмин Сергей Артурович;8651_932858;Арзамас;Агрыз;2020-05-15T07:45;2020-05-15T17:45;415.0;5_42;530.0;5200067317602772_;9.0
Сидоров Тигран Серафимович;6398_725632;Москва;Воронеж;2053-09-18T23:40;2053-09-19T08:20;547.0;1_31;630.0;5100741406567248_;9.0
Емельянова Юлия Станиславовна;6245_815669;Уфа;Екатеринбург;2014-09-22T05:00;2014-09-22T17:07;514.0;8_22;550.0;4100712817188334_;8.0
Давыдов Максим Миронович;2135_377133;Вологда;Екатеринбург;2040-04-04T06:25;2040-04-05T16:10;61.0;2_52;1006.0;4567203637542757_;3.0
Баранова Октябрина Филипповна;3556_187238;Рязань;Москва;2031-07-23T10:12;2031-07-23T15:00;204.0;20_6;644.0;4100555330522262_;4.0
Смирнова Валерия Всеволодовна;5243_140162;Туапсе;Адлер;2022-03-07T11:00;2022-03-07T15:10;299.0;2_5;562.0;2200873108762320_;2.0
Назарова Людмила Владленовна;2844_954953;Волгоград;Краснодар;2067-06-06T05:10;2067-06-06T14:10;463.0;20_15;597.0;5400133313074354_;9.0
Мельникова Эмилия Георгиевна;9878_269219;Армавир;Воронеж;2038-07-28T03:27;2038-07-28T14:39;424.0;19_15;836.0;4300013181348233_;2.0
Зимина Юнона Назаровна;8331_749787;Краснодар;Москва;2013-01-00T12:00;2044-06-22T05:50;129.0;21_5;682.0;4276721016361222_;5.0
Михайлов Георгий Кристоферович;2641_597963;Рязань;Москва;2013-01-00T12:00;2026-06-18T00:00;297.0;5_31;542.0;2202010718475764_;2.0
Гаврилов Адам Наумович;9204_575449;Волгоград;Москва;2013-01-00T12:00;2014-06-02T11:05;585.0;26_8;1041.0;2207115865652028_;2.0
Маслова Ева Аполлоновна;9773_962840;Воронеж;Москва;2013-01-00T12:00;2035-07-19T19:24;189.0;25_2;831.0;5400126787467441_;5.0
Богданов Еремей Серафимович;9600_013263;Воронеж;Джанкой;2026-10-10T21:10;2026-10-11T16:10;561.0;5_1;4877.0;4276032842736178_;3.0
Куликова Элла Прокофьевна;9752_323637;Москва;Вильнюс;2024-07-17T21:00;2024-07-18T11:24;379.0;22_1;975.0;4100356064170453_;1.0
Капустина Элла Васильевна;9289_670841;Бологое;Петрозаводск;2013-11-14T20:02;2013-11-15T04:04;665.0;24_5;750.0;2204187223130114_;8.0
Ершова Евгения Архиповна;0970_660835;Усинск;Печора;2030-06-03T22:15;2030-06-04T06:16;444.0;18_13;730.0;5400214576626834_;10.0
Фролова Ольга Тимофеевна;3559_740291;Киров;Красноярск;2075-12-25T18:50;2075-12-27T12:50;115.0;5_55;626.0;4567312034746243_;5.0
Сидорова Устинья Никитична;1331_505978;Киров;Москва;2073-09-16T15:05;2073-09-17T06:06;238.0;18_3;995.0;5486125713388601_;5.0
Козлов Павел Эльдарович;7284_444347;Красноярск;Волгоград;2054-08-05T02:50;2054-08-07T16:30;685.0;19_1;2535.0;4100302585145430_;5.0
Зимина Лидия Марковна;0732_524327;Керчь;Симферополь;2049-12-06T07:12;2049-12-06T17:29;505.0;4_1;2869.0;4817486130353313_;5.0
Колесникова Виталина Климентовна;8334_472213;Воронеж;Вологда;2018-11-07T19:15;2018-11-08T21:15;478.0;26_10;1280.0;2200458848148168_;1.0
Козлов Павел Степанович;1839_415966;Калуга;Брянск;2016-09-18T12:32;2016-09-18T16:36;627.0;28_3;626.0;4567672063687230_;8.0
Васильев Василий Кириллович;7172_146232;Ейск;Староминская;2029-09-24T15:15;2029-09-24T21:04;516.0;34_7;691.0;5500201872615828_;10.0
Шмелёва Стелла Тиграновна;0516_391761;Самара;Саратов;2063-12-22T07:31;2063-12-22T17:02;629.0;27_10;785.0;2202372016641141_;9.0
Ушаков Геннадий Никитич;7922_834858;Краснодар;Новороссийск;2019-11-30T22:16;2019-12-01T06:05;295.0;1_54;617.0;5200832806537066_;1.0
Пономарёва Кристина Наумовна;1658_522906;Краснодар;Волгоград;2061-03-06T01:21;2061-03-07T06:33;250.0;21_9;1376.0;4100545635615657_;5.0
Виноградов Давид Еремеевич;8120_505028;Сочи;Москва;2028-03-31T13:51;2028-04-01T08:15;264.0;3_19;555.0;5200173842083007_;1.0
Макаров Ростислав Степанович;1077_489398;Краснодар;Минеральные Воды;2019-02-20T17:53;2019-02-21T07:55;49.0;17_15;921.0;2207053550252063_;3.0
Некрасов Михаил Пантелеевич;1765_758069;Рязань;Рузаевка;2018-04-28T16:52;2018-04-28T19:14;753.0;1_1;642.0;4276083334040782_;7.0
Морозов Назар Альбертович;1085_234702;Челябинск;Оренбург;2013-11-25T23:30;2013-11-26T19:00;633.0;23_14;1061.0;4100512045337374_;10.0
Афанасьев Геннадий Кристоферович;0939_391539;Тюмень;Нижневартовск;2059-10-18T06:07;2059-10-18T17:20;404.0;34_6;870.0;4000438643556635_;1.0
Попова Устинья Степановна;6571_397204;Ростов-на-Дону;Омск;2043-08-10T20:25;2043-08-13T04:25;352.0;22_8;2247.0;5100225451672634_;5.0
Захарова Галина Данииловна;5466_543743;Краснодар;Новороссийск;2058-11-22T17:30;2058-11-23T07:30;583.0;3_1;3725.0;5500047370738070_;5.0
Шмелёва Софья Ивановна;3943_622734;Тверь;Москва;2027-08-18T02:03;2027-08-18T06:19;666.0;2_24;564.0;4567006084283734_;7.0
Петров Тимофей Фёдорович;1270_225144;Тверь;Вытегра;2017-12-04T10:32;2017-12-04T14:56;17.0;13_45;515.0;5100424403417573_;3.0
Ершов Адам Георгиевич;6786_437325;Анапа;Воронеж;2031-01-10T00:45;2031-01-10T17:33;536.0;5_45;560.0;4817528111358678_;8.0
Фёдорова Людмила Львовна;8917_246335;Вологда;Санкт-Петербург;2037-07-19T02:09;2037-07-19T11:45;664.0;13_60;534.0;4100748175664205_;7.0
Борисов Николай Олегович;9704_782779;Актюбинск;Самара;2015-04-02T08:20;2015-04-03T08:40;56.0;26_9;1230.0;2207261308141802_;3.0
Голубев Прокофий Антонович;3306_501602;Самара;Омск;2077-12-05T00:25;2077-12-06T04:25;352.0;9_7;600.0;5469600418878205_;10.0
Соловьев Эльдар Евгеньевич;8836_467358;Воронеж;Краснодар;2026-02-03T22:02;2026-02-04T10:04;497.0;5_30;536.0;5400068430301746_;8.0
Соболева Наталья Тиграновна;4227_558450;Волгоград;Самара;2017-07-29T19:21;2017-07-30T05:33;550.0;1_30;653.0;4276051500326364_;9.0
Баранов Глеб Арсеньевич;4214_535475;Нижний Новгород;Шахунья;2020-08-02T06:00;2020-08-02T09:20;605.0;4_1;1268.0;5400768061754324_;1.0
Морозова Александра Пантелеевна;1359_621326;Великие Луки;Осташков;2014-05-21T19:50;2014-05-21T23:30;645.0;30_3;621.0;4567865681326360_;8.0
Пономарев Александр Пантелеевич;7418_588783;Апатиты;Мурманск;2028-08-10T23:10;2028-08-11T08:10;619.0;15_2;770.0;4276755281166347_;9.0
Леонова Капитолина Святославовна;0919_739104;Москва;Староминская;2019-05-25T19:00;2019-05-26T18:16;541.0;2_12;541.0;5100447622284611_;8.0
